(trendCoefficient= '56.82077507530459', state= '', country= 'United Kingdom', continent= 'Europa'weekYear= '2020-W18,[(5/3/20,4339.0), (5/2/20,4806.0), (5/1/20,6201.0), (4/30/20,6032.0), (4/29/20,4076.0), (4/28/20,3996.0), (4/27/20,4309.0)])
(trendCoefficient= '0.4118674039772812', state= 'Mayotte', country= 'France', continent= 'Africa'weekYear= '2020-W15,[(4/9/20,13.0), (4/8/20,0.0), (4/7/20,24.0), (4/6/20,0.0), (4/12/20,0.0), (4/11/20,5.0), (4/10/20,7.0)])
(trendCoefficient= '4.851848521632274', state= '', country= 'Ireland', continent= 'Europa'weekYear= '2020-W05,[(2/2/20,0.0), (2/1/20,0.0), (1/31/20,0.0), (1/30/20,0.0), (1/29/20,0.0), (1/28/20,0.0), (1/27/20,0.0)])
(trendCoefficient= '1.8390504877939127', state= '', country= 'Algeria', continent= 'Africa'weekYear= '2020-W13,[(3/29/20,57.0), (3/28/20,45.0), (3/27/20,42.0), (3/26/20,65.0), (3/25/20,38.0), (3/24/20,34.0), (3/23/20,29.0)])
(trendCoefficient= '0.9130962550015735', state= '', country= 'Malaysia', continent= 'Asia'weekYear= '2020-W10,[(3/8/20,6.0), (3/7/20,10.0), (3/6/20,33.0), (3/5/20,0.0), (3/4/20,14.0), (3/3/20,7.0), (3/2/20,0.0)])
(trendCoefficient= '3.778986647484602', state= '', country= 'Romania', continent= 'Europa'weekYear= '2020-W04,[(1/26/20,0.0), (1/25/20,0.0), (1/24/20,0.0), (1/23/20,0.0), (1/22/20,0.0)])
(trendCoefficient= '17.32129209189408', state= '', country= 'Saudi Arabia', continent= 'Asia'weekYear= '2020-W08,[(2/23/20,0.0), (2/22/20,0.0), (2/21/20,0.0), (2/20/20,0.0), (2/19/20,0.0), (2/18/20,0.0), (2/17/20,0.0)])
(trendCoefficient= '30.69651126197006', state= '', country= 'India', continent= 'Asia'weekYear= '2020-W21,[(5/18/20,4630.0)])
(trendCoefficient= '6.695514693761333', state= '', country= 'United Arab Emirates', continent= 'Asia'weekYear= '2020-W10,[(3/8/20,0.0), (3/7/20,16.0), (3/6/20,0.0), (3/5/20,2.0), (3/4/20,0.0), (3/3/20,6.0), (3/2/20,0.0)])
(trendCoefficient= '0.584101365223516', state= '', country= 'Guatemala', continent= 'America'weekYear= '2020-W17,[(4/26/20,27.0), (4/25/20,43.0), (4/24/20,46.0), (4/23/20,68.0), (4/22/20,22.0), (4/21/20,5.0), (4/20/20,32.0)])
(trendCoefficient= '0.28853272190501883', state= '', country= 'Croatia', continent= 'Europa'weekYear= '2020-W18,[(5/3/20,8.0), (5/2/20,3.0), (5/1/20,9.0), (4/30/20,14.0), (4/29/20,15.0), (4/28/20,8.0), (4/27/20,9.0)])
(trendCoefficient= '0.24750857947818788', state= '', country= 'Sri Lanka', continent= 'Asia'weekYear= '2020-W04,[(1/26/20,0.0), (1/25/20,0.0), (1/24/20,0.0), (1/23/20,0.0), (1/22/20,0.0)])
