data,dimessi_guariti,tamponi
2020-02-24T18:00:00,1,4324
2020-02-25T18:00:00,0,4299
2020-02-26T18:00:00,2,964
2020-02-27T18:00:00,42,2427
2020-02-28T18:00:00,1,3681
2020-02-29T18:00:00,4,2966
2020-03-01T18:00:00,33,2466
2020-03-02T18:00:00,66,2218
2020-03-03T18:00:00,11,2511
2020-03-04T18:00:00,116,3981
2020-03-05T18:00:00,138,2525
2020-03-06T18:00:00,109,3997
2020-03-07T18:00:00,66,5703
2020-03-08T18:00:00,33,7875
2020-03-09T18:00:00,102,3889
2020-03-10T18:00:00,280,6935
2020-03-11T17:00:00,41,12393
2020-03-12T17:00:00,213,12857
2020-03-13T17:00:00,181,11477
2020-03-14T17:00:00,527,11682
2020-03-15T17:00:00,369,15729
2020-03-16T17:00:00,414,13063
2020-03-17T17:00:00,192,10695
2020-03-18T17:00:00,1084,16884
2020-03-19T17:00:00,415,17236
2020-03-20T17:00:00,689,24109
2020-03-21T17:00:00,943,26336
2020-03-22T17:00:00,952,25180
2020-03-23T17:00:00,408,17066
2020-03-24T17:00:00,894,21496
2020-03-25T17:00:00,1036,27481
2020-03-26T17:00:00,999,36615
2020-03-27T17:00:00,589,33019
2020-03-28T17:00:00,1434,35447
2020-03-29T17:00:00,646,24504
2020-03-30T17:00:00,1590,23329
2020-03-31T17:00:00,1109,29609
2020-04-01T17:00:00,1118,34455
2020-04-02T17:00:00,1431,39809
2020-04-03T17:00:00,1480,38617
2020-04-04T17:00:00,1238,37375
2020-04-05T17:00:00,819,34237
2020-04-06T17:00:00,1022,30271
2020-04-07T17:00:00,1555,33713
2020-04-08T17:00:00,2099,51680
2020-04-09T17:00:00,1979,46244
2020-04-10T17:00:00,1985,53495
2020-04-11T17:00:00,2079,56609
2020-04-12T17:00:00,1677,46720
2020-04-13T17:00:00,1224,36717
2020-04-14T17:00:00,1695,26779
2020-04-15T17:00:00,962,43715
2020-04-16T17:00:00,2072,60999
2020-04-17T17:00:00,2563,65705
2020-04-18T17:00:00,2200,61725
2020-04-19T17:00:00,2128,50708
2020-04-20T17:00:00,1822,41483
2020-04-21T17:00:00,2723,52126
2020-04-22T17:00:00,2943,63101
2020-04-23T17:00:00,3033,66658
2020-04-24T17:00:00,2922,62447
2020-04-25T17:00:00,2622,65387
2020-04-26T17:00:00,1808,49916
2020-04-27T17:00:00,1696,32003
2020-04-28T17:00:00,2317,57272
2020-04-29T17:00:00,2311,63827
2020-04-30T17:00:00,4693,68456
2020-05-01T17:00:00,2304,74208
2020-05-02T17:00:00,1665,55412
2020-05-03T17:00:00,1740,44935
2020-05-04T17:00:00,1225,37631
2020-05-05T17:00:00,2352,55263
2020-05-06T17:00:00,8014,64263
2020-05-07T17:00:00,3031,70359
2020-05-08T17:00:00,2747,63775
2020-05-09T17:00:00,4008,69171
2020-05-10T17:00:00,2155,51678
2020-05-11T17:00:00,1401,40740
2020-05-12T17:00:00,2452,67003
2020-05-13T17:00:00,3502,61973
2020-05-14T17:00:00,2747,71876
2020-05-15T17:00:00,4917,68176
2020-05-16T17:00:00,2605,69179
2020-05-17T17:00:00,2366,60101
2020-05-18T17:00:00,2150,36406
2020-05-19T17:00:00,2075,63158
2020-05-20T17:00:00,2881,67195
